EC,local_sequence_count,fasta_file
1.3.1.74,75,data/sequences/EC_1_3_1_74_local_sequences.fasta
2.4.2.31,33,data/sequences/EC_2_4_2_31_local_sequences.fasta
2.7.1.25,3,data/sequences/EC_2_7_1_25_local_sequences.fasta
2.7.4.9,8,data/sequences/EC_2_7_4_9_local_sequences.fasta
3.1.2.15,57,data/sequences/EC_3_1_2_15_local_sequences.fasta
3.5.4.4,35,data/sequences/EC_3_5_4_4_local_sequences.fasta
3.6.1.15,69,data/sequences/EC_3_6_1_15_local_sequences.fasta
3.6.1.5,5,data/sequences/EC_3_6_1_5_local_sequences.fasta
4.4.1.1,4,data/sequences/EC_4_4_1_1_local_sequences.fasta
6.1.1.9,12,data/sequences/EC_6_1_1_9_local_sequences.fasta
